from,to,bin,mean,sd
ath,ath,10,4.944444444444445,2.9149465827433123
ath,ath,20,3.611111111111111,2.4526377838493465
ath,ath,30,1.2222222222222223,1.7177360926378118
ath,ath,40,1.0555555555555556,2.460176647276059
ath,ath,50,0.3333333333333333,0.8164965809277259
ath,ath,100,5.833333333333333,3.919325338768283
ath,zma,10,1.2222222222222223,2.0153730163574504
ath,zma,20,0.1111111111111111,0.3142696805273545
ath,zma,30,0.2222222222222222,0.7114582486036499
ath,zma,40,0.2222222222222222,0.5328701692569688
ath,zma,50,0.2222222222222222,0.532870169256969
ath,zma,100,11.0,3.5901098714230026
zma,ath,10,0.38461538461538464,1.0769230769230766
zma,ath,20,0.8461538461538461,1.0262818510866412
zma,ath,30,0.3076923076923077,0.6056929133855238
zma,ath,40,0.6153846153846154,0.6249260311258431
zma,ath,50,0.07692307692307693,0.26646935501059654
zma,ath,100,15.76923076923077,1.9671864388529883
zma,zma,10,5.333333333333333,2.4129281427805145
zma,zma,20,2.066666666666667,1.18133634311129
zma,zma,30,0.6666666666666666,0.9428090415820635
zma,zma,40,0.6,0.7118052168020875
zma,zma,50,0.5333333333333333,0.7180219742846007
zma,zma,100,2.6666666666666665,3.9101008796307144
